time,Labels,class_name
17264,0,Normal Operation
17472,0,Normal Operation
17680,0,Normal Operation
17888,0,Normal Operation
18096,0,Normal Operation
18304,0,Normal Operation
18512,0,Normal Operation
18720,0,Normal Operation
18928,0,Normal Operation
19136,0,Normal Operation
19344,0,Normal Operation
19552,0,Normal Operation
19760,0,Normal Operation
19968,0,Normal Operation
20176,0,Normal Operation
20384,0,Normal Operation
20592,0,Normal Operation
20800,0,Normal Operation
21008,0,Normal Operation
21216,0,Normal Operation
21424,0,Normal Operation
21632,0,Normal Operation
21840,0,Normal Operation
22048,0,Normal Operation
22256,0,Normal Operation
22464,0,Normal Operation
22672,0,Normal Operation
22880,0,Normal Operation
23088,0,Normal Operation
23296,0,Normal Operation
23504,0,Normal Operation
23712,0,Normal Operation
23920,0,Normal Operation
24128,0,Normal Operation
24336,0,Normal Operation
24544,0,Normal Operation
24752,0,Normal Operation
24960,0,Normal Operation
25168,0,Normal Operation
25376,0,Normal Operation
25584,0,Normal Operation
25792,0,Normal Operation
26000,0,Normal Operation
26208,0,Normal Operation
26416,0,Normal Operation
26624,0,Normal Operation
26832,0,Normal Operation
27040,0,Normal Operation
27248,0,Normal Operation
27456,0,Normal Operation
27664,0,Normal Operation
27872,0,Normal Operation
28080,0,Normal Operation
28288,0,Normal Operation
28496,0,Normal Operation
28704,0,Normal Operation
28912,0,Normal Operation
29120,0,Normal Operation
29328,0,Normal Operation
29536,0,Normal Operation
29744,0,Normal Operation
29952,0,Normal Operation
30160,0,Normal Operation
30368,0,Normal Operation
30576,0,Normal Operation
30784,0,Normal Operation
30992,0,Normal Operation
31200,0,Normal Operation
31408,0,Normal Operation
31616,0,Normal Operation
31824,0,Normal Operation
32032,0,Normal Operation
32240,0,Normal Operation
32448,0,Normal Operation
32656,0,Normal Operation
32864,0,Normal Operation
33072,0,Normal Operation
33280,0,Normal Operation
33488,0,Normal Operation
33696,0,Normal Operation
33904,0,Normal Operation
34112,0,Normal Operation
34320,0,Normal Operation
34528,0,Normal Operation
34736,0,Normal Operation
34944,0,Normal Operation
35152,0,Normal Operation
35360,0,Normal Operation
35568,0,Normal Operation
35776,0,Normal Operation
35984,0,Normal Operation
36192,0,Normal Operation
36400,0,Normal Operation
36608,0,Normal Operation
36816,0,Normal Operation
37024,0,Normal Operation
37232,0,Normal Operation
37440,0,Normal Operation
37648,0,Normal Operation
37856,0,Normal Operation
38064,0,Normal Operation
38272,0,Normal Operation
38480,0,Normal Operation
38688,0,Normal Operation
38896,0,Normal Operation
39104,0,Normal Operation
39312,0,Normal Operation
39520,0,Normal Operation
39728,0,Normal Operation
39936,0,Normal Operation
40144,0,Normal Operation
40352,0,Normal Operation
40560,0,Normal Operation
40768,0,Normal Operation
40976,0,Normal Operation
41184,0,Normal Operation
41392,0,Normal Operation
41600,0,Normal Operation
41808,0,Normal Operation
42016,0,Normal Operation
42224,0,Normal Operation
42432,0,Normal Operation
42640,0,Normal Operation
42848,0,Normal Operation
43056,0,Normal Operation
43264,0,Normal Operation
43472,0,Normal Operation
43680,0,Normal Operation
43888,0,Normal Operation
44096,0,Normal Operation
44304,0,Normal Operation
44512,0,Normal Operation
44720,0,Normal Operation
44928,0,Normal Operation
45136,0,Normal Operation
45344,0,Normal Operation
45552,0,Normal Operation
45760,0,Normal Operation
45968,0,Normal Operation
46176,0,Normal Operation
46384,0,Normal Operation
46592,0,Normal Operation
46800,0,Normal Operation
47008,0,Normal Operation
47216,0,Normal Operation
47424,0,Normal Operation
47632,0,Normal Operation
47840,0,Normal Operation
48048,0,Normal Operation
48256,0,Normal Operation
48464,0,Normal Operation
48672,0,Normal Operation
48880,0,Normal Operation
49088,0,Normal Operation
49296,0,Normal Operation
49504,0,Normal Operation
49712,0,Normal Operation
49920,0,Normal Operation
50128,0,Normal Operation
50336,0,Normal Operation
50544,0,Normal Operation
50752,0,Normal Operation
50960,0,Normal Operation
51168,0,Normal Operation
51376,0,Normal Operation
51584,0,Normal Operation
51792,0,Normal Operation
52000,0,Normal Operation
52208,0,Normal Operation
52416,0,Normal Operation
52624,0,Normal Operation
52832,0,Normal Operation
53040,0,Normal Operation
53248,0,Normal Operation
53456,0,Normal Operation
53664,0,Normal Operation
53872,0,Normal Operation
54080,0,Normal Operation
54288,0,Normal Operation
54496,0,Normal Operation
54704,0,Normal Operation
54912,0,Normal Operation
55120,0,Normal Operation
55328,0,Normal Operation
55536,0,Normal Operation
55744,0,Normal Operation
55952,0,Normal Operation
56160,0,Normal Operation
56368,0,Normal Operation
56576,0,Normal Operation
56784,0,Normal Operation
56992,0,Normal Operation
57200,0,Normal Operation
57408,0,Normal Operation
57616,0,Normal Operation
57824,0,Normal Operation
58032,0,Normal Operation
58240,0,Normal Operation
58448,0,Normal Operation
58656,0,Normal Operation
58864,0,Normal Operation
59072,0,Normal Operation
59280,0,Normal Operation
59488,0,Normal Operation
59696,0,Normal Operation
59904,0,Normal Operation
60112,0,Normal Operation
60320,0,Normal Operation
60528,0,Normal Operation
60736,0,Normal Operation
60944,0,Normal Operation
61152,0,Normal Operation
61360,0,Normal Operation
61568,0,Normal Operation
61776,0,Normal Operation
61984,0,Normal Operation
62192,0,Normal Operation
62400,0,Normal Operation
62608,0,Normal Operation
62816,0,Normal Operation
63024,0,Normal Operation
63232,0,Normal Operation
63440,0,Normal Operation
63648,0,Normal Operation
63856,0,Normal Operation
64064,0,Normal Operation
64272,0,Normal Operation
64480,0,Normal Operation
64688,0,Normal Operation
64896,0,Normal Operation
65104,0,Normal Operation
65312,0,Normal Operation
65520,0,Normal Operation
65728,0,Normal Operation
65936,0,Normal Operation
66144,0,Normal Operation
66352,0,Normal Operation
66560,0,Normal Operation
66768,0,Normal Operation
66976,0,Normal Operation
67184,0,Normal Operation
67392,0,Normal Operation
67600,0,Normal Operation
67808,0,Normal Operation
68016,0,Normal Operation
68224,0,Normal Operation
68432,0,Normal Operation
68640,0,Normal Operation
68848,0,Normal Operation
69056,0,Normal Operation
69264,0,Normal Operation
69472,0,Normal Operation
69680,0,Normal Operation
69888,0,Normal Operation
70096,0,Normal Operation
70304,0,Normal Operation
70512,0,Normal Operation
70720,0,Normal Operation
70928,0,Normal Operation
71136,0,Normal Operation
71344,0,Normal Operation
71552,0,Normal Operation
71760,0,Normal Operation
71968,0,Normal Operation
72176,0,Normal Operation
72384,0,Normal Operation
72592,0,Normal Operation
72800,0,Normal Operation
73008,0,Normal Operation
73216,0,Normal Operation
73424,0,Normal Operation
73632,0,Normal Operation
73840,0,Normal Operation
74048,0,Normal Operation
74256,0,Normal Operation
74464,0,Normal Operation
74672,0,Normal Operation
74880,0,Normal Operation
75088,0,Normal Operation
75296,0,Normal Operation
75504,0,Normal Operation
75712,0,Normal Operation
75920,0,Normal Operation
76128,0,Normal Operation
76336,0,Normal Operation
76544,0,Normal Operation
76752,0,Normal Operation
76960,0,Normal Operation
77168,0,Normal Operation
77376,0,Normal Operation
77584,0,Normal Operation
77792,0,Normal Operation
78000,0,Normal Operation
78208,0,Normal Operation
78416,0,Normal Operation
78624,0,Normal Operation
78832,0,Normal Operation
79040,0,Normal Operation
79248,0,Normal Operation
79456,0,Normal Operation
79664,0,Normal Operation
79872,0,Normal Operation
80080,0,Normal Operation
80288,0,Normal Operation
80496,0,Normal Operation
80704,0,Normal Operation
80912,0,Normal Operation
81120,0,Normal Operation
81328,0,Normal Operation
81536,0,Normal Operation
81744,0,Normal Operation
81952,0,Normal Operation
82160,0,Normal Operation
82368,0,Normal Operation
82576,0,Normal Operation
82784,0,Normal Operation
82992,0,Normal Operation
83200,0,Normal Operation
83408,0,Normal Operation
83616,0,Normal Operation
83824,0,Normal Operation
84032,0,Normal Operation
84240,0,Normal Operation
84448,0,Normal Operation
84656,0,Normal Operation
84864,0,Normal Operation
85072,0,Normal Operation
85280,0,Normal Operation
85488,0,Normal Operation
85696,0,Normal Operation
85904,0,Normal Operation
86112,0,Normal Operation
86320,0,Normal Operation
86528,0,Normal Operation
86736,0,Normal Operation
86944,0,Normal Operation
87152,0,Normal Operation
87360,0,Normal Operation
87568,0,Normal Operation
87776,0,Normal Operation
87984,0,Normal Operation
88192,0,Normal Operation
88400,0,Normal Operation
88608,0,Normal Operation
88816,0,Normal Operation
89024,0,Normal Operation
89232,0,Normal Operation
89440,0,Normal Operation
89648,0,Normal Operation
89856,0,Normal Operation
90064,0,Normal Operation
90272,0,Normal Operation
90480,0,Normal Operation
90688,0,Normal Operation
90896,0,Normal Operation
91104,0,Normal Operation
91312,0,Normal Operation
91520,0,Normal Operation
91728,0,Normal Operation
91936,0,Normal Operation
92144,0,Normal Operation
92352,0,Normal Operation
92560,0,Normal Operation
92768,0,Normal Operation
92976,0,Normal Operation
93184,0,Normal Operation
93392,0,Normal Operation
93600,0,Normal Operation
93808,0,Normal Operation
94016,0,Normal Operation
94224,0,Normal Operation
94432,0,Normal Operation
94640,0,Normal Operation
94848,0,Normal Operation
95056,0,Normal Operation
95264,0,Normal Operation
95472,0,Normal Operation
95680,0,Normal Operation
95888,0,Normal Operation
96096,0,Normal Operation
96304,0,Normal Operation
96512,0,Normal Operation
96720,0,Normal Operation
96928,0,Normal Operation
97136,0,Normal Operation
97344,0,Normal Operation
97552,0,Normal Operation
97760,0,Normal Operation
97968,0,Normal Operation
98176,0,Normal Operation
98384,0,Normal Operation
98592,0,Normal Operation
98800,0,Normal Operation
99008,0,Normal Operation
99216,0,Normal Operation
99424,0,Normal Operation
99632,0,Normal Operation
99840,0,Normal Operation
100048,0,Normal Operation
100256,0,Normal Operation
100464,0,Normal Operation
100672,0,Normal Operation
100880,0,Normal Operation
101088,0,Normal Operation
101296,0,Normal Operation
101504,0,Normal Operation
101712,0,Normal Operation
101920,0,Normal Operation
102128,0,Normal Operation
102336,0,Normal Operation
102544,0,Normal Operation
102752,0,Normal Operation
102960,0,Normal Operation
103168,0,Normal Operation
103376,0,Normal Operation
103584,0,Normal Operation
103792,0,Normal Operation
104000,0,Normal Operation
104208,0,Normal Operation
104416,0,Normal Operation
104624,0,Normal Operation
104832,0,Normal Operation
105040,0,Normal Operation
105248,0,Normal Operation
105456,0,Normal Operation
105664,0,Normal Operation
105872,0,Normal Operation
106080,0,Normal Operation
106288,0,Normal Operation
106496,0,Normal Operation
106704,0,Normal Operation
106912,0,Normal Operation
107120,0,Normal Operation
107328,0,Normal Operation
107536,0,Normal Operation
107744,0,Normal Operation
107952,0,Normal Operation
108160,0,Normal Operation
108368,0,Normal Operation
108576,0,Normal Operation
108784,0,Normal Operation
108992,0,Normal Operation
109200,0,Normal Operation
109408,0,Normal Operation
109616,0,Normal Operation
109824,0,Normal Operation
110032,0,Normal Operation
110240,0,Normal Operation
110448,0,Normal Operation
110656,0,Normal Operation
110864,0,Normal Operation
111072,0,Normal Operation
111280,0,Normal Operation
111488,0,Normal Operation
111696,0,Normal Operation
111904,0,Normal Operation
112112,0,Normal Operation
112320,0,Normal Operation
112528,0,Normal Operation
112736,0,Normal Operation
112944,0,Normal Operation
113152,0,Normal Operation
113360,0,Normal Operation
113568,0,Normal Operation
113776,0,Normal Operation
113984,0,Normal Operation
114192,0,Normal Operation
114400,0,Normal Operation
114608,0,Normal Operation
114816,0,Normal Operation
115024,0,Normal Operation
115232,0,Normal Operation
115440,0,Normal Operation
115648,0,Normal Operation
115856,0,Normal Operation
116064,0,Normal Operation
116272,0,Normal Operation
116480,0,Normal Operation
116688,0,Normal Operation
116896,0,Normal Operation
117104,0,Normal Operation
117312,0,Normal Operation
117520,0,Normal Operation
117728,0,Normal Operation
117936,0,Normal Operation
118144,0,Normal Operation
118352,0,Normal Operation
118560,0,Normal Operation
118768,0,Normal Operation
118976,0,Normal Operation
119184,0,Normal Operation
119392,0,Normal Operation
119600,0,Normal Operation
119808,0,Normal Operation
120016,0,Normal Operation
120224,0,Normal Operation
120432,0,Normal Operation
120640,0,Normal Operation
120848,0,Normal Operation
121056,0,Normal Operation
121264,0,Normal Operation
121472,0,Normal Operation
121680,0,Normal Operation
121888,0,Normal Operation
122096,0,Normal Operation
122304,0,Normal Operation
122512,0,Normal Operation
122720,0,Normal Operation
122928,0,Normal Operation
123136,0,Normal Operation
123344,0,Normal Operation
123552,0,Normal Operation
123760,0,Normal Operation
123968,0,Normal Operation
124176,0,Normal Operation
124384,0,Normal Operation
124592,0,Normal Operation
124800,0,Normal Operation
125008,0,Normal Operation
125216,0,Normal Operation
125424,0,Normal Operation
125632,0,Normal Operation
125840,0,Normal Operation
126048,0,Normal Operation
126256,0,Normal Operation
126464,0,Normal Operation
126672,0,Normal Operation
126880,0,Normal Operation
127088,0,Normal Operation
127296,0,Normal Operation
127504,0,Normal Operation
127712,0,Normal Operation
127920,0,Normal Operation
128128,0,Normal Operation
128336,0,Normal Operation
128544,0,Normal Operation
128752,0,Normal Operation
128960,0,Normal Operation
129168,0,Normal Operation
129376,0,Normal Operation
129584,0,Normal Operation
129792,0,Normal Operation
130000,0,Normal Operation
130208,0,Normal Operation
130416,0,Normal Operation
130624,0,Normal Operation
130832,0,Normal Operation
131040,0,Normal Operation
131248,0,Normal Operation
131456,0,Normal Operation
131664,0,Normal Operation
131872,0,Normal Operation
132080,0,Normal Operation
132288,0,Normal Operation
132496,0,Normal Operation
132704,0,Normal Operation
132912,0,Normal Operation
133120,0,Normal Operation
133328,0,Normal Operation
133536,0,Normal Operation
133744,0,Normal Operation
133952,0,Normal Operation
134160,0,Normal Operation
134368,0,Normal Operation
134576,0,Normal Operation
134784,0,Normal Operation
134992,0,Normal Operation
135200,0,Normal Operation
135408,0,Normal Operation
135616,0,Normal Operation
135824,0,Normal Operation
136032,0,Normal Operation
136240,0,Normal Operation
136448,0,Normal Operation
136656,0,Normal Operation
136864,0,Normal Operation
137072,0,Normal Operation
137280,0,Normal Operation
137488,0,Normal Operation
137696,0,Normal Operation
137904,0,Normal Operation
138112,0,Normal Operation
138320,0,Normal Operation
138528,0,Normal Operation
138736,0,Normal Operation
138944,0,Normal Operation
139152,0,Normal Operation
139360,0,Normal Operation
139568,0,Normal Operation
139776,0,Normal Operation
139984,0,Normal Operation
140192,0,Normal Operation
140400,0,Normal Operation
140608,0,Normal Operation
140816,0,Normal Operation
141024,0,Normal Operation
141232,0,Normal Operation
141440,0,Normal Operation
141648,0,Normal Operation
141856,0,Normal Operation
142064,0,Normal Operation
142272,0,Normal Operation
142480,0,Normal Operation
142688,0,Normal Operation
142896,0,Normal Operation
143104,0,Normal Operation
143312,0,Normal Operation
143520,0,Normal Operation
143728,0,Normal Operation
143936,0,Normal Operation
144144,0,Normal Operation
144352,0,Normal Operation
144560,0,Normal Operation
144768,0,Normal Operation
144976,0,Normal Operation
145184,0,Normal Operation
145392,0,Normal Operation
145600,0,Normal Operation
145808,0,Normal Operation
146016,0,Normal Operation
146224,0,Normal Operation
146432,0,Normal Operation
146640,0,Normal Operation
146848,0,Normal Operation
147056,0,Normal Operation
147264,0,Normal Operation
147472,0,Normal Operation
147680,0,Normal Operation
147888,0,Normal Operation
148096,0,Normal Operation
148304,0,Normal Operation
148512,0,Normal Operation
148720,0,Normal Operation
148928,0,Normal Operation
149136,0,Normal Operation
149344,0,Normal Operation
149552,0,Normal Operation
149760,0,Normal Operation
149968,0,Normal Operation
150176,0,Normal Operation
150384,0,Normal Operation
150592,0,Normal Operation
150800,0,Normal Operation
151008,0,Normal Operation
151216,0,Normal Operation
151424,0,Normal Operation
151632,0,Normal Operation
151840,0,Normal Operation
152048,0,Normal Operation
152256,0,Normal Operation
152464,0,Normal Operation
152672,0,Normal Operation
152880,0,Normal Operation
153088,0,Normal Operation
153296,0,Normal Operation
153504,0,Normal Operation
153712,0,Normal Operation
153920,0,Normal Operation
154128,0,Normal Operation
154336,0,Normal Operation
154544,0,Normal Operation
154752,0,Normal Operation
154960,0,Normal Operation
155168,0,Normal Operation
155376,0,Normal Operation
155584,0,Normal Operation
155792,0,Normal Operation
156000,0,Normal Operation
156208,0,Normal Operation
156416,0,Normal Operation
156624,0,Normal Operation
156832,0,Normal Operation
157040,0,Normal Operation
157248,0,Normal Operation
157456,0,Normal Operation
157664,0,Normal Operation
157872,0,Normal Operation
158080,0,Normal Operation
158288,0,Normal Operation
158496,0,Normal Operation
158704,0,Normal Operation
158912,0,Normal Operation
159120,0,Normal Operation
159328,0,Normal Operation
159536,0,Normal Operation
159744,0,Normal Operation
159952,0,Normal Operation
160160,0,Normal Operation
160368,0,Normal Operation
160576,0,Normal Operation
160784,0,Normal Operation
160992,0,Normal Operation
161200,0,Normal Operation
161408,0,Normal Operation
161616,0,Normal Operation
161824,0,Normal Operation
162032,0,Normal Operation
162240,0,Normal Operation
162448,0,Normal Operation
162656,0,Normal Operation
162864,0,Normal Operation
163072,0,Normal Operation
163280,0,Normal Operation
163488,0,Normal Operation
163696,0,Normal Operation
163904,0,Normal Operation
164112,0,Normal Operation
164320,0,Normal Operation
164528,0,Normal Operation
164736,0,Normal Operation
164944,0,Normal Operation
165152,0,Normal Operation
165360,0,Normal Operation
165568,0,Normal Operation
165776,0,Normal Operation
165984,0,Normal Operation
166192,0,Normal Operation
166400,0,Normal Operation
166608,0,Normal Operation
166816,0,Normal Operation
167024,0,Normal Operation
167232,0,Normal Operation
167440,0,Normal Operation
167648,0,Normal Operation
167856,0,Normal Operation
168064,0,Normal Operation
168272,0,Normal Operation
168480,0,Normal Operation
168688,0,Normal Operation
168896,0,Normal Operation
169104,0,Normal Operation
169312,0,Normal Operation
169520,0,Normal Operation
169728,0,Normal Operation
169936,0,Normal Operation
170144,0,Normal Operation
170352,0,Normal Operation
170560,0,Normal Operation
170768,0,Normal Operation
170976,0,Normal Operation
171184,0,Normal Operation
171392,0,Normal Operation
171600,0,Normal Operation
171808,0,Normal Operation
172016,0,Normal Operation
172224,0,Normal Operation
172432,0,Normal Operation
172640,0,Normal Operation
172848,0,Normal Operation
173056,0,Normal Operation
173264,0,Normal Operation
173472,0,Normal Operation
173680,0,Normal Operation
173888,0,Normal Operation
174096,0,Normal Operation
174304,0,Normal Operation
174512,0,Normal Operation
174720,0,Normal Operation
174928,0,Normal Operation
175136,0,Normal Operation
175344,0,Normal Operation
175552,0,Normal Operation
175760,0,Normal Operation
175968,0,Normal Operation
176176,0,Normal Operation
176384,0,Normal Operation
176592,0,Normal Operation
176800,0,Normal Operation
177008,0,Normal Operation
177216,0,Normal Operation
177424,0,Normal Operation
177632,0,Normal Operation
177840,0,Normal Operation
178048,0,Normal Operation
178256,0,Normal Operation
178464,0,Normal Operation
178672,0,Normal Operation
178880,0,Normal Operation
179088,0,Normal Operation
179296,0,Normal Operation
179504,0,Normal Operation
179712,0,Normal Operation
179920,0,Normal Operation
180128,0,Normal Operation
180336,0,Normal Operation
180544,0,Normal Operation
180752,0,Normal Operation
180960,0,Normal Operation
181168,0,Normal Operation
181376,0,Normal Operation
181584,0,Normal Operation
181792,0,Normal Operation
182000,0,Normal Operation
182208,0,Normal Operation
182416,0,Normal Operation
182624,0,Normal Operation
182832,0,Normal Operation
183040,0,Normal Operation
183248,0,Normal Operation
183456,0,Normal Operation
183664,0,Normal Operation
183872,0,Normal Operation
184080,0,Normal Operation
184288,0,Normal Operation
184496,0,Normal Operation
184704,0,Normal Operation
184912,0,Normal Operation
185120,0,Normal Operation
185328,0,Normal Operation
185536,0,Normal Operation
185744,0,Normal Operation
185952,0,Normal Operation
186160,0,Normal Operation
186368,0,Normal Operation
186576,0,Normal Operation
186784,0,Normal Operation
186992,0,Normal Operation
187200,0,Normal Operation
187408,0,Normal Operation
187616,0,Normal Operation
187824,0,Normal Operation
188032,0,Normal Operation
188240,0,Normal Operation
188448,0,Normal Operation
188656,0,Normal Operation
188864,0,Normal Operation
189072,0,Normal Operation
189280,0,Normal Operation
189488,0,Normal Operation
189696,0,Normal Operation
189904,0,Normal Operation
190112,0,Normal Operation
190320,0,Normal Operation
190528,0,Normal Operation
190736,0,Normal Operation
190944,0,Normal Operation
191152,0,Normal Operation
191360,0,Normal Operation
191568,0,Normal Operation
191776,0,Normal Operation
191984,0,Normal Operation
192192,0,Normal Operation
192400,0,Normal Operation
192608,0,Normal Operation
192816,0,Normal Operation
193024,0,Normal Operation
193232,0,Normal Operation
193440,0,Normal Operation
193648,0,Normal Operation
193856,0,Normal Operation
194064,0,Normal Operation
194272,0,Normal Operation
194480,0,Normal Operation
194688,0,Normal Operation
194896,0,Normal Operation
195104,0,Normal Operation
195312,0,Normal Operation
195520,0,Normal Operation
195728,0,Normal Operation
195936,0,Normal Operation
196144,0,Normal Operation
196352,0,Normal Operation
196560,0,Normal Operation
196768,0,Normal Operation
196976,0,Normal Operation
197184,0,Normal Operation
197392,0,Normal Operation
197600,0,Normal Operation
197808,0,Normal Operation
198016,0,Normal Operation
198224,0,Normal Operation
198432,0,Normal Operation
198640,0,Normal Operation
198848,0,Normal Operation
199056,0,Normal Operation
199264,0,Normal Operation
199472,0,Normal Operation
199680,0,Normal Operation
199888,0,Normal Operation
200096,0,Normal Operation
200304,0,Normal Operation
200512,0,Normal Operation
200720,0,Normal Operation
200928,0,Normal Operation
201136,0,Normal Operation
201344,0,Normal Operation
201552,0,Normal Operation
201760,0,Normal Operation
201968,0,Normal Operation
202176,0,Normal Operation
202384,0,Normal Operation
202592,0,Normal Operation
202800,0,Normal Operation
203008,0,Normal Operation
203216,0,Normal Operation
203424,0,Normal Operation
203632,0,Normal Operation
203840,0,Normal Operation
204048,0,Normal Operation
204256,0,Normal Operation
204464,0,Normal Operation
204672,0,Normal Operation
204880,0,Normal Operation
205088,0,Normal Operation
205296,0,Normal Operation
205504,0,Normal Operation
205712,0,Normal Operation
205920,0,Normal Operation
206128,0,Normal Operation
206336,0,Normal Operation
206544,0,Normal Operation
206752,0,Normal Operation
206960,0,Normal Operation
207168,0,Normal Operation
207376,0,Normal Operation
207584,0,Normal Operation
207792,0,Normal Operation
208000,0,Normal Operation
208208,0,Normal Operation
208416,0,Normal Operation
208624,0,Normal Operation
208832,0,Normal Operation
209040,0,Normal Operation
209248,0,Normal Operation
209456,0,Normal Operation
209664,0,Normal Operation
209872,0,Normal Operation
210080,0,Normal Operation
210288,0,Normal Operation
210496,0,Normal Operation
210704,0,Normal Operation
210912,0,Normal Operation
211120,0,Normal Operation
211328,0,Normal Operation
211536,0,Normal Operation
211744,0,Normal Operation
211952,0,Normal Operation
212160,0,Normal Operation
212368,0,Normal Operation
212576,0,Normal Operation
212784,0,Normal Operation
212992,0,Normal Operation
213200,0,Normal Operation
213408,0,Normal Operation
213616,0,Normal Operation
213824,0,Normal Operation
214032,0,Normal Operation
214240,0,Normal Operation
214448,0,Normal Operation
214656,0,Normal Operation
214864,0,Normal Operation
215072,0,Normal Operation
215280,0,Normal Operation
215488,0,Normal Operation
215696,0,Normal Operation
215904,0,Normal Operation
216112,0,Normal Operation
216320,0,Normal Operation
216528,0,Normal Operation
216736,0,Normal Operation
216944,0,Normal Operation
217152,0,Normal Operation
217360,0,Normal Operation
217568,0,Normal Operation
217776,0,Normal Operation
217984,0,Normal Operation
218192,0,Normal Operation
218400,0,Normal Operation
218608,0,Normal Operation
218816,0,Normal Operation
219024,0,Normal Operation
219232,0,Normal Operation
219440,0,Normal Operation
219648,0,Normal Operation
219856,0,Normal Operation
220064,0,Normal Operation
220272,0,Normal Operation
220480,0,Normal Operation
220688,0,Normal Operation
220896,0,Normal Operation
221104,0,Normal Operation
221312,0,Normal Operation
221520,0,Normal Operation
221728,0,Normal Operation
221936,0,Normal Operation
222144,0,Normal Operation
222352,0,Normal Operation
222560,0,Normal Operation
222768,0,Normal Operation
222976,0,Normal Operation
223184,0,Normal Operation
223392,0,Normal Operation
223600,0,Normal Operation
223808,0,Normal Operation
224016,0,Normal Operation
224224,0,Normal Operation
224432,0,Normal Operation
224640,0,Normal Operation
224848,0,Normal Operation
225056,0,Normal Operation
225264,0,Normal Operation
225472,0,Normal Operation
225680,0,Normal Operation
225888,0,Normal Operation
226096,0,Normal Operation
226304,0,Normal Operation
226512,0,Normal Operation
226720,0,Normal Operation
226928,0,Normal Operation
227136,0,Normal Operation
227344,0,Normal Operation
227552,0,Normal Operation
227760,0,Normal Operation
227968,0,Normal Operation
228176,0,Normal Operation
228384,0,Normal Operation
228592,0,Normal Operation
228800,0,Normal Operation
229008,0,Normal Operation
229216,0,Normal Operation
229424,0,Normal Operation
229632,0,Normal Operation
229840,0,Normal Operation
230048,0,Normal Operation
230256,0,Normal Operation
230464,0,Normal Operation
230672,0,Normal Operation
230880,0,Normal Operation
231088,0,Normal Operation
231296,0,Normal Operation
231504,0,Normal Operation
231712,0,Normal Operation
231920,0,Normal Operation
232128,0,Normal Operation
232336,0,Normal Operation
232544,0,Normal Operation
232752,0,Normal Operation
232960,0,Normal Operation
233168,0,Normal Operation
233376,0,Normal Operation
233584,0,Normal Operation
233792,0,Normal Operation
234000,0,Normal Operation
234208,0,Normal Operation
234416,0,Normal Operation
234624,0,Normal Operation
234832,0,Normal Operation
235040,0,Normal Operation
235248,0,Normal Operation
235456,0,Normal Operation
235664,0,Normal Operation
235872,0,Normal Operation
236080,0,Normal Operation
236288,0,Normal Operation
236496,0,Normal Operation
236704,0,Normal Operation
236912,0,Normal Operation
237120,0,Normal Operation
237328,0,Normal Operation
237536,0,Normal Operation
237744,0,Normal Operation
237952,0,Normal Operation
238160,0,Normal Operation
238368,0,Normal Operation
238576,0,Normal Operation
238784,0,Normal Operation
238992,0,Normal Operation
239200,0,Normal Operation
239408,0,Normal Operation
239616,0,Normal Operation
239824,0,Normal Operation
240032,0,Normal Operation
240240,0,Normal Operation
240448,0,Normal Operation
240656,0,Normal Operation
240864,0,Normal Operation
241072,0,Normal Operation
241280,0,Normal Operation
241488,0,Normal Operation
241696,0,Normal Operation
241904,0,Normal Operation
242112,0,Normal Operation
